rating,list_price,price,product_list,description_values,description_titles,review_count,company
4.9,"
                        $68.99","
                        $65.49","royal canin veterinary diet gastrointestinal low fat lf canned dog food,13.6-oz can,case of 24","61822,20.4 pounds,pate,royal canin,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states,sensitive digestion, weight control, prescription food","itemnumber,weight,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",629,By Royal Canin Veterinary Diet
4.4,"
                        $23.88","
                        $21.24","whole earth farms grain-free hearty beef stew canned dog food,12.7-oz,case of 12","73955,stew,small breeds, medium breeds, large breeds, all breeds,wet food,adult, all stages,united states,grain-free, no corn no wheat no soy","itemnumber,foodtexture,breedsize,foodform,lifestage,madein,specialdiet",206,By Whole Earth Farms
4.6,,"
                        $35.99",hill's prescription diet k/d kidney care chicken & vegetable stew canned dog food,"82589,stew,hill's, science diet,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states,prescription food","itemnumber,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",175,By Hill's Prescription Diet
4.7,"
                        $27.99","
                        $27.48","taste of the wild high prairie grain-free canned dog food,13.2-oz,case of 12","49077,chunks in gravy,all breeds, small breeds, medium breeds, large breeds,wet food,all stages, adult,united states,grain-free","itemnumber,foodtexture,breedsize,foodform,lifestage,madein,specialdiet",237,By Taste of the Wild
4.7,,"
                        $7.49","purina beneful medleys tuscan,romana & mediterranean style variety pack canned dog food","100129,2.25 pounds,stew,purina,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states","itemnumber,weight,foodtexture,brand,breedsize,foodform,lifestage,madein",92,By Purina Beneful
4.6,"
                        $9.83","
                        $7.98","alpo gravy cravers variety pack canned dog food,13.2-oz,case of 12","100080,9.9 pounds,chunks in gravy,purina,all breeds, small breeds, medium breeds, large breeds,wet food,adult, all stages,united states","itemnumber,weight,foodtexture,brand,breedsize,foodform,lifestage,madein",40,By ALPO
4.5,"
                        $35.88","
                        $29.99","blue buffalo wilderness wolf creek stew chunky chicken stew grain-free adult canned dog food,12.5-oz,case of 12","75784,stew,blue wilderness,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states,high-protein, grain-free, no corn no wheat no soy","itemnumber,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",170,By Blue Buffalo
4.6,,"
                        $34.49","hill's prescription diet k/d kidney care with chicken canned dog food,13-oz,case of 12","69771,pate,hill's, science diet,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states,prescription food","itemnumber,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",183,By Hill's Prescription Diet
4.7,"
                        $22.99","
                        $18.85","hill's science diet adult 7+ chicken & barley entree canned dog food,13-oz,case of 12","48954,minced,hill's,all breeds, small breeds, medium breeds, large breeds,wet food,senior,united states","itemnumber,foodtexture,brand,breedsize,foodform,lifestage,madein",89,By Hill's Science Diet
4.9,,"
                        $32.99","purina pro plan veterinary diets en gastroenteric formula canned dog food,13.4-oz,case of 12","72415,minced,purina,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states,sensitive digestion, prescription food","itemnumber,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",147,By Purina Pro Plan Veterinary Diets
4.6,"
                        $29.88","
                        $25.99","blue buffalo wilderness turkey & chicken grill grain-free canned dog food,12.5-oz,case of 12","46835,pate,blue wilderness,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states,high-protein, grain-free, no corn no wheat no soy","itemnumber,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",154,By Blue Buffalo
4.9,"
                        $95.55","
                        $84.09","royal canin veterinary diet selected protein adult pr canned dog food,13.6-oz,case of 24","49962,20.4 pounds,pate,royal canin,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states,sensitive digestion, prescription food","itemnumber,weight,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",126,By Royal Canin Veterinary Diet
4.6,,"
                        $18.96","purina pro plan savor adult classic chicken & rice entree canned dog food,13-oz,case of 12","67570,pate,purina,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states","itemnumber,foodtexture,brand,breedsize,foodform,lifestage,madein",98,By Purina Pro Plan
4.6,"
                        $19.99","
                        $17.88","merrick lil' plates mini medley grain-free variety pack dog food trays,3.5-oz,case of 12","117166,2.6 pounds,stew,extra small & toy breeds, small breeds,wet food,adult,united states,grain-free, no corn no wheat no soy, gluten free","itemnumber,weight,foodtexture,breedsize,foodform,lifestage,madein,specialdiet",56,By Merrick
4.6,"
                        $25.39","
                        $23.99","blue buffalo homestyle recipe beef dinner with garden vegetables & sweet potatoes canned dog food,12.5-oz,case of 12","46804,pate,blue life protection,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states,no corn no wheat no soy","itemnumber,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",122,By Blue Buffalo
4.8,"
                        $29.88","
                        $21.60","blue buffalo homestyle recipe senior chicken dinner with garden vegetables canned dog food,12.5-oz,case of 12","64620,pate,blue life protection,all breeds, small breeds, medium breeds, large breeds,wet food,senior,united states,no corn no wheat no soy","itemnumber,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",118,By Blue Buffalo
4.9,,"
                        $36.99",hill's prescription diet w/d digestive/weight/glucose management vegetable & chicken stew canned dog food,"90938,stew,hill's, science diet,all breeds, large breeds, medium breeds, small breeds,wet food,adult,united states,sensitive digestion, weight control, prescription food","itemnumber,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",174,By Hill's Prescription Diet
4.8,"
                        $105.99","
                        $87.89","royal canin veterinary diet hydrolyzed protein adult hp canned dog food,13.8-oz,case of 24","48779,20.7 pounds,pate,royal canin,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states,sensitive digestion, prescription food","itemnumber,weight,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",173,By Royal Canin Veterinary Diet
4.6,"
                        $26.16","
                        $21.88","nature's recipe grain-free chicken recipe in broth wet dog food,2.75-oz,case of 24","80259,bits in broth,all breeds, small breeds, medium breeds, large breeds,wet food,adult, all stages,grain-free","itemnumber,foodtexture,breedsize,foodform,lifestage,specialdiet",97,By Nature's Recipe
4.8,"
                        $75.99","
                        $67.99","royal canin veterinary diet urinary so moderate calorie morsels in gravy canned dog food,13-oz,case of 24","48764,4.5 pounds,chunks in gravy,royal canin,all breeds, small breeds, medium breeds, large breeds,wet food,adult,united states,prescription food, weight control","itemnumber,weight,foodtexture,brand,breedsize,foodform,lifestage,madein,specialdiet",205,By Royal Canin Veterinary Diet
