category,review_full_content_0,review_full_content_1,pos_review_title,pos_review_content,itemnumber,neg_review_content,maker,neg_review_title
"Dog,Food,Dry Food","I tried Chewy.com because my husband heard about it on TV, and I was complaining to him that my dog food vendor had not had my brand in for 3 months. Responsible pet owners know you can't just change an animal's diet without consequences. I guess my small town vendor wasn't too concerned about their customers, because they are a monopoly.
So I thought I'd try Chewy. I absolutely couldn't believe it when it really arrived in 2 days. I will never drive 15 miles again to get my Hills Sensitive stomach and skin dog food. Yah, chewy to the rescue.","I purchased this through Chewy and went for the huge 30lb bag, knowing my dog eats anything and everything. My mistake!! My 1yr Labrador refused to eat it and left her food bowl full all day :( The kibbles are very large and very very crunchy. I think my dog hated how much effort it took to eat instead of inhaling her food like usual (yes, she's a diva). Tried softening with rice & pumpkin and some broth but nope. back to Pure Vita, which sadly Chewy will not carry for much longer. 


 It came highly reviewed by friends and our vet for her skin issues. However, I had to donate the remaining bag because she stopped eating altogether....moral of the story, start with a small bag to start!! If your dog is used to small kibbles, try softening with broth or water.",new customer,"I tried Chewy.com because my husband heard about it on TV, and I was complaining to him that my dog food vendor had not had my brand in for 3 months. Responsible pet owners know you can't just change an animal's diet without consequences. I guess my small town vendor wasn't too concerned about their ",48856,"I purchased this through Chewy and went for the huge 30lb bag, knowing my dog eats anything and everything. My mistake!! My 1yr Labrador refused to eat it and left her food bowl full all day :( The kibbles are very large and very very crunchy. I think my dog hated how much effort it took to eat instead",By Hill's Science Diet,Lab who eats everything would not eat this
"Dog,Food,Dry Food","my husky/aussie family member really likes this flavor; she typically is not a finicky eater anyway, but her coat also seems to be smoother.  Because of her being 1/2 husky, she has two coats which can sometimes become hard to manage.  I'm not sure if it's the food, but lately, her coat has been amazing.",,Good Quality Product,"my husky/aussie family member really likes this flavor; she typically is not a finicky eater anyway, but her coat also seems to be smoother.  Because of her being 1/2 husky, she has two coats which can sometimes become hard to manage.  I'm not sure if it's the food, but lately, her coat has been amazing",46864,My dog likes the food but will not eat the little round kibble mixed in with the food.  I find them all around his bowl on the floor.,By Blue Buffalo,Only one complaint
"Dog,Food,Dry Food","My dogs love it. It brings out the color in their coats. They have more energy and are much more playful. Any of the major grain based dog food brands makes them have dull coats, itchy, less energy, gassy, nasty foul smelling stools and all around miserable. the better grain free foods brings better results but taste of the wild works the best for them. I have always preferred venison as their protein source because i notice more energy and less skin problems and itching. Taste of the wild also includes pro and prebiotics which i believe make a big difference for the dogs.",,excellent product,"My dogs love it. It brings out the color in their coats. They have more energy and are much more playful. Any of the major grain based dog food brands makes them have dull coats, itchy, less energy, gassy, nasty foul smelling stools and all around miserable. the better grain free foods brings better ",91471,"The German Shepherd will not eat it and wolf ate a little bit but not interested. I think my dogs are just spoiled, but they love the canned blue Buffalo food",By Taste of the Wild,German Shepherd and Wolf tested
"Dog,Food,Dry Food",I have 2 dogs one that is sensitive to grains and other things. She was to the point where her foot pads were a shade of deep red from all of her chewing at them. I started them on this food Sept 20th.  She stopped chewing at her feet within 2 days of eating this food. I have noticed that both dogs fur is MUCH softer than it was before and there is no chewing or itching going on. I would HIGHLY RECOMMENDED this food for any dog.,I have a picky eater with allergies so I thought I would give this a try. Unfortunately she does not care for this at all. She will go hours before eating her dish. Gonna have to try something else.  I give it three stars because there's nothing wrong with the ingredients just might not be flavorful enough for my pup.,Unbelievable,I have 2 dogs one that is sensitive to grains and other things. She was to the point where her foot pads were a shade of deep red from all of her chewing at them. I started them on this food Sept 20th.  She stopped chewing at her feet within 2 days of eating this food. I have noticed that both dogs fur,70236,I have a picky eater with allergies so I thought I would give this a try. Unfortunately she does not care for this at all. She will go hours before eating her dish. Gonna have to try something else.  I give it three stars because there's nothing wrong with the ingredients just might not be flavorful ,By CANIDAE,Might be too plain
"Dog,Food,Dry Food",,,Very pleased,We recently switched our 7 year old Golden Retriever to Blue Buffalo life protection dog food. Our dog loves it! He experienced a little gas the first 2-3 weeks but has adjusted to the new food now.,46914,"Really jot please with this food, dog doesn't care for it either. Will not be wasting money on this again.",By Blue Buffalo,Can't stand the smell
"Dog,Food,Dry Food",,,Meaty and moist for a prescription kibble,My dog needed to go on a liver diet and the vet recommended this dry food.  My dog had already been eating the canned food and loved these kibbles.  They are pretty meaty for a prescription food.  He waits at his bowl when dinner time comes so he must enjoy it.,69776,"Hi, This dog food seems to be helping my dog, who takes medication for arthritis. I can't help feeling Hill's Science Diet has hiked the price, though, at $70 a bag.",By Hill's Prescription Diet,Prescribed by doctor; overpriced in my view.
"Dog,Food,Dry Food",,,Excellent for allergies,Good food by a good company. My Golden tolerated it well. I think she was unsure about the taste at first but warmed up to it quickly. We usually do lamb for her allergies but wanted to give this a try while we had a discount coming. I would buy again.,74699,"The dogs are not taking to this new dog food as much as they did the free samples and the one with itching is still having some problems. Not as bad, but they just don't like it as much as blue buffalo.",By Zignature,New dog food.
"Dog,Food,Dry Food","My Rottie is 10 now, and most people think he is much younger.  He has been eating Canidae products all of his life.  Having raised a number of pets on other products, there is no doubt in my mind that this food is perfect for mine now.  Chewy makes it so easy for me to order and delivery is always super-fast.",,This Is Good Stuff,"My Rottie is 10 now, and most people think he is much younger.  He has been eating Canidae products all of his life.  Having raised a number of pets on other products, there is no doubt in my mind that this food is perfect for mine now.  Chewy makes it so easy for me to order and delivery is always super-fast",47056,Not sure if I like the ingredients as of yet: chicken meal etc. might have to keep shopping around for a better food: we  have had canidae before and really have liked it: will see though: about the ingredients:,By CANIDAE,New dog food for my dog:
"Dog,Food,Dry Food","We always used Blue Buffalo for our dogs and once we got our new puppy (a German Shorthaired Pointer) we wanted to try it out with her. We got her at 7 weeks old and the breeder didn't give us her previous food so we immediately transitioned her onto this food and had absolutely no issues! Her stomach was fine and she loved the food. She's still eating this food with no issues 2 weeks later, we're happy! And shipping was super fast (and free!!), it took just 2 days to get here as promised.",,Perfect food for my puppy,We always used Blue Buffalo for our dogs and once we got our new puppy (a German Shorthaired Pointer) we wanted to try it out with her. We got her at 7 weeks old and the breeder didn't give us her previous food so we immediately transitioned her onto this food and had absolutely no issues! Her stomach,46902,This is really good rich food. only thing is if he's not running around and excising he could get fat with this food. I had to switch off this food because he was getting fat.,By Blue Buffalo,gREAT fOOD
"Dog,Food,Dry Food","what is the point of the Sr food?  Only difference between Sr and regular, is the Sr food is 3 lbs less for approx the same price.  No place on the site does it give  details why this food is different form the regular adult food. It mentions glucosamine in the SR, but the package ingredient list is the same as the regular.",,Excellent!,"I've been feeding my dog Eukanuba since he was 8 weeks old, and he's now 12 years.  Chewy.com makes ordering easy and speedy.  I ordered on a Sunday night, and had two bags by Tuesday.  I'd highly recommend.",90759,"what is the point of the Sr food?  Only difference between Sr and regular, is the Sr food is 3 lbs less for approx the same price.  No place on the site does it give  details why this food is different form the regular adult food. It mentions glucosamine in the SR, but the package ingredient list is ",By Eukanuba,what is the point of the Sr food?
