rating,list_price,weight,brand,lifestage,itemnumber,specialdiet,product_list,foodform,breedsize,review_count,price,madein,company,foodtexture
4.4,"
                        $23.88",,,"adult, all stages",73955,"grain-free, no corn no wheat no soy","whole earth farms grain-free hearty beef stew canned dog food,12.7-oz,case of 12",wet food,"small breeds, medium breeds, large breeds, all breeds",206,"
                        $21.24",united states,Whole Earth Farms,stew
4.6,,,"hill's, science diet",adult,82589,prescription food,hill's prescription diet k/d kidney care chicken & vegetable stew canned dog food,wet food,"all breeds, small breeds, medium breeds, large breeds",175,"
                        $35.99",united states,Hill's Prescription Diet,stew
4.9,"
                        $22.99",,hill's,adult,52789,,"hill's science diet adult savory stew with beef & vegetables canned dog food,12.8-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",40,"
                        $18.85",united states,Hill's Science Diet,stew
4.6,"
                        $27.99",,blue wilderness,adult,85742,"grain-free, high-protein, no corn no wheat no soy","blue buffalo wilderness duck & chicken grill grain-free canned dog food,12.5-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",97,"
                        $25.99",united states,lue Buffalo,pate
4.6,"
                        $19.08",,nutro,adult,60626,,nutro max large breed adult beef & rice dinner chunks in gravy canned dog food,wet food,"large breeds, giant breeds",33,"
                        $18.22",united states,Nutro Max,chunks in gravy
4.7,"
                        $35.88",,,"adult, all stages",49195,"grain-free, high-protein, no corn no wheat no soy","wellness 95% beef grain-free canned dog food,13.2-oz,case of 12",wet food,"small breeds, medium breeds, large breeds, all breeds",79,"
                        $33.99",,Wellness,pate
4.5,"
                        $32.99",,purina,adult,65064,"low-protein, prescription food","purina pro plan veterinary diets nf kidney function formula canned dog food,13.3-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",79,"
                        $30.99",united states,Purina Pro Plan Veterinary Diets,minced
4.6,"
                        $17.85",,purina,adult,91787,,"purina one smartblend tender cuts in gravy chicken & brown rice entree adult canned dog food,13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",18,"
                        $15.20",united states,Purina ONE,chunks in gravy
4.4,,,purina,senior,67454,,"purina pro plan focus adult 7+ beef & rice entree morsels in gravy canned dog food,13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",29,"
                        $18.96",united states,Purina Pro Plan,chunks in gravy
4.5,"
                        $28.49",,,"adult, all stages",59978,"sensitive digestion, organic, grain-free",newman's own organics grain-free 95% chicken & liver dinner canned dog food,wet food,"all breeds, small breeds, medium breeds, large breeds",22,"
                        $24.54",united states,Newman's Own Organics,pate
4.9,"
                        $35.88",,,"adult, all stages",49220,no corn no wheat no soy,"wellness turkey & duck stew with sweet potatoes & cranberries canned dog food,12.5-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",43,"
                        $33.99",,Wellness,stew
4.9,"
                        $32.18",10.125 pounds,royal canin size health nutrition,senior,99654,,"royal canin mature adult in gel canned dog food,13.5-oz,case of 12",wet food,"small breeds, medium breeds, large breeds, all breeds",8,"
                        $27.44",united states,Royal Canin,pate
4.9,"
                        $35.76",,,adult,76677,grain-free,"wellness petite entrees mini-filets with roasted beef,carrots & red peppers in gravy grain-free wet dog food,3-oz,case of 24",wet food,"small breeds, extra small & toy breeds",23,"
                        $33.99",,Wellness,chunks in gravy
4.9,"
                        $23.88",9.4 pounds,,senior,86736,,"nutro adult kitchen classics family dinner with turkey,rice & vegetables canned dog food,12.5-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",32,"
                        $21.48",united states,Nutro,pate
4.9,,9.75 pounds,,"all stages, adult",76631,"sensitive digestion, grain-free, no corn no wheat no soy","holistic select chicken pate recipe grain-free canned dog food,13-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",22,"
                        $34.99",united states,Holistic Select,pate
,,63.49 pounds,,"all stages, adult",114316,,"pedigree choice cuts in gravy steak & vegetable flavor canned dog food,13.2-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",,"
                        $11.76",united states,Pedigree,chunks in gravy
4.6,"
                        $28.85",9.6 pounds,,"adult, all stages",47331,"high-protein, no corn no wheat no soy","evanger's super premium lamb & rice dinner canned dog food,12.8-oz,case of 12",wet food,"all breeds, small breeds, medium breeds, large breeds",28,"
                        $26.33",united states,Evanger's,pate
