rating,list_price,weight,lifestage,protein,caloric,size,category,fibre,review_count,ingredients,itemnumber,moisture,madein,price,foodform,brand,fat,breedsize,specialdiet,benefits,product_list,maker,foodtexture
4.4,"
                        $23.88",,"adult, all stages",9.5% min,"804 kcal/kg, 290 kcal/12.7 oz can",,"Dog,Food,Wet Food",1.4% max,206,"deboned beef, beef broth, beef liver, carrots, peas, dried egg product, sweet potatoes, natural flavor, dried potatoes, blueberries, calcium carbonate, sodium phosphate, salt, potassium chloride, vitamins (vitamin e supplement, vitamin b12 supplement, d-calcium pantothenate, vitamin a supplement, niacin, vitamin d3 supplement, riboflavin, pyridoxine hydrochloride, folic acid, biotin, thiamine mononitrate), olive oil, flaxseed oil, minerals (zinc amino acid complex, iron amino acid complex, manganese amino acid complex, copper amino acid complex, potassium iodide, cobalt glucoheptonate, sodium selenite), choline chloride, cinnamon, rosemary, sage, thyme, caramel color, yucca schidigera extract.",73955,78.0% max,united states,"
                        $21.24",wet food,,3.5% min,"small breeds, medium breeds, large breeds, all breeds","grain-free, no corn no wheat no soy","<li>the best, healthy ingredients from the earth, mixed into a delicious daily meal</li>,<li>protein rich beef, blueberries, flavorful rosemary, sage and thyme are just a few of the nutritious ingredients</li>,<li>cooked in america with the earth's best ingredients</li>,<li>no corn, wheat or soy</li>,<li>no ingredients from china</li>","whole earth farms grain-free hearty beef stew canned dog food,12.7-oz,case of 12",By Whole Earth Farms,stew
4.6,,,adult,2.5% min,330 kcal/12.5 oz can,"12.5-oz, case of 12","Dog,Food,Wet Food",2.0% max,175,"water, chicken, carrots, rice, chicken fat, pork liver, rice starch, dextrose, green peas, sugar, egg whites, fish oil, chicken liver flavor, powdered cellulose, dried beet pulp, potassium alginate, calcium lactate, calcium gluconate, natural flavor, flaxseed, potassium citrate, choline chloride, brewers dried yeast, l-lysine, guar gum, calcium chloride, dicalcium phosphate, vitamins (vitamin e supplement, niacin supplement, thiamine mononitrate, ascorbic acid (source of vitamin c), vitamin a supplement, calcium pantothenate, vitamin b12 supplement, biotin, pyridoxine hydrochloride, riboflavin supplement, folic acid, menadione sodium bisulfite complex (source of vitamin k), vitamin d3 supplement), monosodium phosphate, magnesium oxide, l-threonine, taurine, minerals (zinc oxide, ferrous sulfate, copper sulfate, manganous oxide, calcium iodate, sodium selenite), l-tryptophan, l-carnitine, l-arginine, calcium carbonate, beta-carotene.",82589,,united states,"
                        $35.99",wet food,"hill's, science diet",3.5% min,"all breeds, small breeds, medium breeds, large breeds",prescription food,"<li>protects vital kidney and heart function with proven nutrition developed by nutritionists and veterinarians.</li>,<li>boosts vitality and energy and supports the natural ability to build lean muscle daily.</li>,<li>made with controlled phosphorus and low sodium, plus therapeutic levels of l-carnitine and omega-3 fatty acids.</li>,<li>also includes high levels of essential amino acids, which are the building blocks of protein.</li>,<li>made in usa and clinically tested to improve and lengthen the quality of life.</li>",hill's prescription diet k/d kidney care chicken & vegetable stew canned dog food,By Hill's Prescription Diet,stew
4.9,"
                        $22.99",,adult,4.5% min,329 kcal/12.8 oz can,,"Dog,Food,Wet Food",1.5% max,40,"water, beef, liver, brown rice, carrots, rice starch-modified, wheat flour, potato starch, pork plasma, dried beet pulp, potatoes, dextrose, chicken fat, peas, chicken liver flavor, spinach, calcium carbonate, soybean oil, ground flaxseed, potassium chloride, sodium phosphate, caramel (added color), guar gum, minerals (ferrous sulfate, zinc oxide, copper proteinate, manganous sulfate, potassium iodide), vitamins (vitamin e supplement, thiamine mononitrate, niacin, d-calcium pantothenate, vitamin b12 supplement, pyridoxine hydrochloride, biotin, vitamin d3 supplement, riboflavin supplement, folic acid), choline chloride, taurine, l-lysine monohydrochloride, iron oxide (added color).",52789,,united states,"
                        $18.85",wet food,hill's,2.8% min,"all breeds, small breeds, medium breeds, large breeds",,"<li>this recipe is made with real meat, brown rice and a medley of delectable vegetables including peas and carrots, all smothered in a delicious gravy</li>,<li>high quality, lean protein promotes lean muscle maintenance and ideal body weight</li>,<li>gentle fibers promote healthy digestion and help keep your dog in top condition</li>,<li>promotes healthy skin and a shiny coat with ingredients such as biotin and vitamin e</li>,<li>recommended for adult dogs 1-6 years of age</li>","hill's science diet adult savory stew with beef & vegetables canned dog food,12.8-oz,case of 12",By Hill's Science Diet,stew
4.6,"
                        $27.99",,adult,10.0% min,"1,425 kcal/kg, 506 kcal/can",,"Dog,Food,Wet Food",1.5% max,97,"duck, chicken, chicken broth, potato flour, cassia gum, dicalcium phosphate, flaxseed (a natural source of omega 3 and 6 fatty acids), salt, carrageenan, guar gum, potassium chloride, vitamin a supplement, thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), niacin (vitamin b3), d-calcium pantothenate (vitamin b5), pyridoxine hydrochloride(vitamin b6), biotin (vitamin b7), folic acid (vitamin b9), vitamin b12 supplement, vitamin d3 supplement, vitamin e supplement, iron amino acid chelate, zinc amino acid chelate, copper amino acid chelate, manganese amino acid chelate, sodium selenite, calcium iodate, choline chloride.",85742,78.0% max,united states,"
                        $25.99",wet food,blue wilderness,9.0% min,"all breeds, small breeds, medium breeds, large breeds","grain-free, high-protein, no corn no wheat no soy","<li>made with the finest natural ingredients, including generous amounts of tasty and nutritious duck and chicken</li>,<li>made without any grain, a common allergy trigger for dogs</li>,<li>no corn, wheat, soy, chicken/poultry by-product meals, artificial preservatives, colors or flavors</li>,<li>b12 supplement improves gastrointestinal function and flaxseed boosts the immune system</li>,<li>a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete</li>","blue buffalo wilderness duck & chicken grill grain-free canned dog food,12.5-oz,case of 12",By Blue Buffalo,pate
4.6,"
                        $19.08",,adult,8.0% min,"954 kcal/kg, 338 kcal/can","12.5-oz, case of 12","Dog,Food,Wet Food",1.0% max,33,"beef broth, beef, chicken, beef liver, wheat gluten, potato starch, ground rice, sunflower oil(preserved with mixed tocopherols, a source of vitamin e), salt, egg product, guar gum, calcium carbonate, sodium phosphate, natural flavors, potassium chloride, caramel color, sodium alginate, xanthan gum, ferrous sulfate, zinc oxide, choline chloride, vitamin e supplement, copper proteinate, sodium selenite, manganese sulfate, thiamine mononitrate, potassium iodide, vitamin a supplement, biotin, vitamin d3 supplement, vitamin b12 supplement, riboflavin supplement.",60626,80.0% max,united states,"
                        $18.22",wet food,nutro,5.5% min,"large breeds, giant breeds",,"<li>real beef and beef liver in a savory broth are the first ingredients in this delicious natural food.</li>,<li>high-quality ingredients are sourced from a network of trusted farmers and suppliers and processed in nutro’s own u.s. facilities.</li>,<li>added vitamins, minerals and trace nutrients deliver complete and balanced nutrition for your large breed adult dog.</li>,<li>made with no corn or soy protein, no by-product meals, and no artificial flavors or preservatives.</li>,<li>can be served as a complete meal or as a tasty topper over dry kibble to add variety to his diet.</li>",nutro max large breed adult beef & rice dinner chunks in gravy canned dog food,By Nutro Max,chunks in gravy
4.7,"
                        $35.88",,"adult, all stages",8.0% min,631 kcal/can,,"Dog,Food,Wet Food",1.0% max,79,"beef, water sufficient for processing, natural flavors, cassia gum, carrageenan.",49195,78.0% max,,"
                        $33.99",wet food,,6.0% min,"small breeds, medium breeds, large breeds, all breeds","grain-free, high-protein, no corn no wheat no soy","<li>packed with super premium beef</li>,<li>grain-free formula ideal for pets with allergies</li>,<li>the perfect way to add variety and excitement to dry food</li>,<li>no meat by-products, wheat, corn, soy, artificial preservatives, colors, or flavors</li>,<li>made to be mixed with dry dog food or used as a topper</li>","wellness 95% beef grain-free canned dog food,13.2-oz,case of 12",By Wellness,pate
4.5,"
                        $32.99",,adult,2.5% min,"1,310 kcal/kg, 494 kcal/can",,"Dog,Food,Wet Food",2.0% max,79,"water sufficient for processing, meat by-products, rice, corn grits, beef, liver, chicken by-products, animal fat (preserved with tbhq and citric acid), calcium sulfate, guar gum, fish oil, potassium citrate, locust bean gum, carrageenan, potassium chloride, magnesium sulfate, added color, choline chloride, natural flavor, vitamin e supplement, calcium carbonate, zinc sulfate, calcium phosphate, ferrous sulfate, niacin, thiamine mononitrate, copper sulfate, calcium pantothenate, manganese sulfate, pyridoxine hydrochloride, vitamin b-12 supplement, riboflavin supplement, vitamin a supplement, folic acid, vitamin d-3 supplement, biotin, potassium iodide, sodium selenite.",65064,74.0% max,united states,"
                        $30.99",wet food,purina,5.5% min,"all breeds, small breeds, medium breeds, large breeds","low-protein, prescription food","<li>kidney disease can occur in dogs of all ages, but it normally appears in that of older pets. it can't be cured, but with proper treatment and dietary management you can help make your pup much more comfortable.</li>,<li>purina pro plan veterinary diets nf has been specifically formulated to minimize the sign of kidney failure and help slow the progression of the disease.</li>,<li>restricted amounts of high-quality protein, low phosphorus levels, and a reduction in sodium all help reduce the workload on the kidneys. added b-complex vitamins help to protect the body and break down nutrients.</li>,<li>designed for dogs with chronic renal failure, hepatic disease associated with encephalopathy, or any condition that benefits from restricted sodium levels.</li>,<li>made in the usa!</li>","purina pro plan veterinary diets nf kidney function formula canned dog food,13.3-oz,case of 12",By Purina Pro Plan Veterinary Diets,minced
4.6,"
                        $17.85",,adult,10.0% min,,,"Dog,Food,Wet Food",1.5% max,18,"chicken and turkey broth, chicken, liver, wheat gluten, meat by-products, brown rice, carrots, soy flour, turkey, corn starch-modified, spinach, egg product, potassium chloride, added color, calcium phosphate, zinc sulfate, vitamin e supplement, choline chloride, ferrous sulfate, niacin, copper sulfate, manganese sulfate, thiamine mononitrate, calcium pantothenate, pyridoxine hydrochloride, vitamin b12 supplement, riboflavin supplement, vitamin a supplement, potassium iodide, folic acid, vitamin d3 supplement, biotin, sodium selenite.",91787,80.0% max,united states,"
                        $15.20",wet food,purina,3.0% min,"all breeds, small breeds, medium breeds, large breeds",,"<li>real chicken and brown rice in a savory gravy provides a taste your dog will love!</li>,<li>formulated with select, high-quality, natural ingredients plus vitamins and minerals</li>,<li>includes two times the recommended antioxidant levels with zinc, selenium, and vitamins a and e</li>,<li>100% nutritionally complete diet for adult dogs</li>,<li>highly palatable and easily digestible formula promotes a lifetime of good health for your furry friend</li>","purina one smartblend tender cuts in gravy chicken & brown rice entree adult canned dog food,13-oz,case of 12",By Purina ONE,chunks in gravy
4.4,,,senior,10.0% min,"847 kcal/kg, 313 kcal/can",,"Dog,Food,Wet Food",1.5% max,29,"water sufficient for processing, beef, poultry, meat by products, wheat gluten, rice, corn starch modified, added color, potassium chloride, calcium phosphate, salt, vitamin e supplement, l ascorbyl 2 polyphosphate (source of vitamin c), choline chloride, calcium carbonate, zinc sulfate, ferrous sulfate, niacin, copper sulfate, thiamine mononitrate, manganese sulfate, calcium pantothenate, pyridoxine hydrochloride, vitamin b 12 supplement, riboflavin supplement, vitamin a supplement, potassium iodide, folic acid, vitamin d 3 supplement, biotin, and sodium selenite.",67454,82.0% max,united states,"
                        $18.96",wet food,purina,3.0% min,"all breeds, small breeds, medium breeds, large breeds",,"<li>chunky bites of high-quality beef and chicken in rich gravy provides exceptional taste and balanced nutrition for your dog</li>,<li>contains biotin and omega-6 fatty acids to maintain healthy skin and a beautiful shiny coat</li>,<li>easy-to-digest formula contains ideal ingredients for dogs over 7 years of age to thrive</li>,<li>can be used in addition to purina pro plan kibble, or as a 100% complete balanced diet</li>,<li>proudly manufactured in purina-owned u.s.a facilities and does not contain any added artificial colors, flavors, or preservatives</li>","purina pro plan focus adult 7+ beef & rice entree morsels in gravy canned dog food,13-oz,case of 12",By Purina Pro Plan,chunks in gravy
4.5,"
                        $28.49",,"adult, all stages",10.0% min,5.5 oz can: 189 kcal/can; 12.7 oz can: 437 kcal/can,"12.7-oz, case of 12","Dog,Food,Wet Food",1.0% max,22,"organic chicken, organic chicken broth, organic chicken liver, organic pea flour, dicalcium phosphate, organic alfalfa, calcium carbonate, organic locust bean gum, potassium chloride, organic guar gum, salt, carrageenan, choline chloride, vitamin e supplement, thiamine mononitrate, niacin supplement, calcium pantothenate, biotin, vitamin a supplement, riboflavin supplement, vitamin b12 supplement, pyridoxine hydrochloride, vitamin d3 supplement, folic acid, zinc proteinate, iron proteinate, calcium carbonate, copper proteinate, manganese proteinate, sodium selenite, calcium iodate.",59978,78.0% max,united states,"
                        $24.54",wet food,,5.5% min,"all breeds, small breeds, medium breeds, large breeds","sensitive digestion, organic, grain-free","<li>a grain-free formula that's suitable for all life stages</li>,<li>first and primary ingredient is a single source of organic protein</li>,<li>this formula is highly palatable and digestible</li>,<li>no artificial flavors, colors, preservatives, corn or wheat</li>,<li>certified by oregon tilth for a wholesome meal any pup would enjoy</li>",newman's own organics grain-free 95% chicken & liver dinner canned dog food,By Newman's Own Organics,pate
