category,review_full_content_0,review_full_content_1,pos_review_title,pos_review_content,itemnumber,neg_review_content,maker,neg_review_title
"Dog,Food,Wet Food","It is not as stew-y as I expected based on other brands of stews I have purchased. By that I mean there is really not a gravy like you would expect to see. That said, my girls LOVE LOVE LOVE it!!!! I have a Yorkipoo and a Papipoo and they absolutely inhale their meals (4oz twice/day each). I do not have the lids on and it back in the fridge before I hear their bowls scooting around on the tile, which is them licking every last morsel from their bowls!! I love that they love it, but as their mom, I love that it is healthy, grain free, soy free, all the bad stuff free! I have already changed my Auto-delivery to include this instead of what they were eating. Happy healthy dogs equals a happy dog Mom!!","I was surprised my two large dogs didn't like this food more;  it looks wholesome enough...and the ingredients seem fine.    They eat it but not with gusto.......one dog kind of noses around the meat, eating the kibble and then tentatively eating the meat chunks.  I think I will look on Chewy again for another canned wet food until I find something they love.  (They don't like salmon so maybe they don't like beef too.)",My girls LOVE this food!!!!,"It is not as stew-y as I expected based on other brands of stews I have purchased. By that I mean there is really not a gravy like you would expect to see. That said, my girls LOVE LOVE LOVE it!!!! I have a Yorkipoo and a Papipoo and they absolutely inhale their meals (4oz twice/day each). I do not have",73955,"I was surprised my two large dogs didn't like this food more;  it looks wholesome enough...and the ingredients seem fine.    They eat it but not with gusto.......one dog kind of noses around the meat, eating the kibble and then tentatively eating the meat chunks.  I think I will look on Chewy again for",By Whole Earth Farms,Surprising  mediocre response from my dogs
"Dog,Food,Wet Food","I have two small, picky-eaters and had good luck with Taste of the Wild dry, decided to try
this as a ""gravy"" for their dry. Opened can, ears perked up, gobbled it right down! Success! Even though the vet said to keep them on one type of protein (my main is chicken), I see no reason not to spice up their meals with a change once in a while.
No side-effects from this, just eager-eaters ready for their next meals.",,Excellent as a topper for dry kibble,"I have two small, picky-eaters and had good luck with Taste of the Wild dry, decided to try
this as a ""gravy"" for their dry. Opened can, ears perked up, gobbled it right down! Success! Even though the vet said to keep them on one type of protein (my main is chicken), I see no reason not to spice up ",50640,Selected this food because of the nutritional review I read.  Dogs age at first but then tapered off.  Rectangle chunks in gravy.  They are very picky and this did not do it....either.,By Taste of the Wild,Didn't do the trick
"Dog,Food,Wet Food",,,My dogs ate this up!,"My dogs are really finicky, but they lapped this stuff right up. Even when one of them gets in a mood to not eat, all I have to do is pick up one piece for them to eat and it's on! Most of the time, one of them tries to rush to the bowls so he or she can get both bowls before the other one notices!",60626,"This Was supposed to have Rice with Beef Chunks in Gravy.  There Was
Beef Chunks ONLY in Gravy.  I Have Been Buying Nutro Products For Years.
Therefore, I Was Surprised & Disappointed.",By Nutro Max,Nutro Max Large Breed Adult Beef & Rice Dinner Chunks in Gravy
"Dog,Food,Wet Food","I had tried another type and brand of this and the dogs (5 ) seemed to just be okay with it.  I thought this might be better...It turns out they LOVE it...I have one that is very picky and fussy about her food so I just call her and tell her that I have ""duck"" for  her...She eats with no problem and the rest of them need no invitation.","I used to buy one of these rolls every few months to cut up for treats to use when training. Dogs loved them, they were easy to handle and stored well in the freezer. Small pieces could be tossed to the dog when teaching a stay.The formulation has changed. This is a finer grind, wetter and stickier. It does not slice well and turns to powder when dried out a little. I could mold little balls by rolling some between my fingertips, but that's not something I want to do with the entire roll. The dogs still love the taste so this is probably good as an additive to a meal, or to hide pills in, but no longer meets my needs at all.",What a terrific product,"I had tried another type and brand of this and the dogs (5 ) seemed to just be okay with it.  I thought this might be better...It turns out they LOVE it...I have one that is very picky and fussy about her food so I just call her and tell her that I have ""duck"" for  her...She eats with no problem and ",76564,"I used to buy one of these rolls every few months to cut up for treats to use when training. Dogs loved them, they were easy to handle and stored well in the freezer. Small pieces could be tossed to the dog when teaching a stay.The formulation has changed. This is a finer grind, wetter and stickier. ",By Natural Balance,Not the Natural Balance roll of a few years ago
"Dog,Food,Wet Food",,,My dog loves this,I have not tasted it myself but my Mastiff really seems to love it!,84997,Except that this particular variety gave her diarrhea within a couple of days. I'm stuck with 10 cans of it.,By Blue Buffalo,"Dog Liked It, But"
"Dog,Food,Wet Food","This was our first time to order Purina One online and overall a good one. This is a high quality product which we have purchased in retail stores. We use three to four wet types of dog food along with our Natural Balance standard dry food and get good results with feedings. The only negative, there were two cans that had been dented to the point that the lid had opened slightly. This we supposed happened prior to the product being sent to Chewy.com as the shipment from Chewy.com was well packaged. It happens, we just pitched the cans just to be safe. Other than that, no complaints with Chewy's performance.",,High quality at a competative price,"This was our first time to order Purina One online and overall a good one. This is a high quality product which we have purchased in retail stores. We use three to four wet types of dog food along with our Natural Balance standard dry food and get good results with feedings. The only negative, there ",91787,3 out of 12 cans were dented. Lynn is very picky and I think she noticed {HA HA]. Ordering on-line is easier than trying to carry home every other week.,By Purina ONE,dented cans
"Dog,Food,Wet Food","My 2 dogs had no problem switching from their old dog food to this!  They LOVE it!  AND.....it is so much healthier for them as well. 
Their attention span has improved, more playful and their coats are healthier!  
The oldest, Frank the pug, is 7 and showed no interest in play any longer. Even my 3 year old Sassy left the toys laying and was becoming lethargic. 
Bothbof them are perked up, happy and playful and the toys are scattered everywhere again!  This pup Mom is very happy. 
Oh yeah!!  The price and convenience are the icing on the cake!!!",,Healthy that tastes good.,"My 2 dogs had no problem switching from their old dog food to this!  They LOVE it!  AND.....it is so much healthier for them as well. 
Their attention span has improved, more playful and their coats are healthier!  
The oldest, Frank the pug, is 7 and showed no interest in play any longer. Even my ",67454,"I have two small senior dogs.  My corgi mix liked the pro-plan for a week or so.  My chiweenie did not, and she eats everything! I like that the chunks of meat are smaller in size.  I did not care for the overly thick sauce.",By Purina Pro Plan,Mixed review
"Dog,Food,Wet Food",,,It's a hit!!!,"My 150 lb ,10 yr old mastiff loves this canned food!! I combine a partial can with the same dry. I feel much better about it since it's lower in fat",47021,"I'm torn on this food.  It smells so bad to me that I can't hardly stand to open it, but my super picky dog actually really likes it a lot so I guess I'll keep buying it for now haha",By CANIDAE,"Not pleasant smelling, but dogs like it"
"Dog,Food,Wet Food",,,My Cavs love it!,I give our dogs one tablespoon mixed with their Fromm heartland grain free dry food. They both gobble up their food faster and with much joy!,55028,"I know most dog food smells kind of like poop, but this stuff literally reeks like it's already been digested. Seriously. I guess that would be okay if the dogs actually liked it but alas, they just aren't that into it. Moving on to a new brand...",By Castor & Pollux,Dogs don't love it
"Dog,Food,Wet Food",,,First time trying this!,"I have wanted to try the Green Cow Tripe for a while as I have used many Solid Gold products over the years and am very satisfied with the results of them.  But I wasn't sure of ""tripe!""  It is a little smelly, but actually that makes the dogs love it even more.  I will for sure buy more of this.",86568,"It's not the one the dog liked. That one was not ground up. In fact, I was going to ask if I can return the unopened second box and substitute the other tripe canned food that I saw on your site.",By Solid Gold,Green cow tripe in beef broth
