,neg_review_title
0,Surprising  mediocre response from my dogs
1,Didn't do the trick
2,Nutro Max Large Breed Adult Beef & Rice Dinner Chunks in Gravy
3,Not the Natural Balance roll of a few years ago
4,"Dog Liked It, But"
5,dented cans
6,Mixed review
7,"Not pleasant smelling, but dogs like it"
8,Dogs don't love it
9,Green cow tripe in beef broth
10,Venison & Salmon Stew
11,My dogs don't like it
12,Digestive issues
13,"UNFORTUNATELY, NOT FOR OUR DOODLES!"
14,Puppy won't eat it
15,Wild Calling can food
16,Case of 6 not 12!
17,Puppy won't eat this.
18,Wish this had worked for me
19,fogs hated it
20,crushed cans
21,it's okay
22,Average
23,Great food Poor packaging
24,"Looked good, but my dog didn't like it"
25,did not like
26,Too much fat content
27,Too Dry
28,So disappointed...
29,product not that successful
30,Will not buy again
31,To my surprise
32,Not buying again
33,Good if used sparingly
34,My 2 dogs didn't like it
35,It's ok
36,While I normally love Nature's Variety products....
37,Looks like paste
38,The product was recommended to replace another canned food that is out-of-production now.
39,Chewy great - dog hates what I ordered
40,Product was good
41,OK but not great
42,Thought it would be better
43,Picky Dogs
44,Finicky Chi's
45,Dog food likeaility
46,Strange....
47,No Repeat Purchase
48,Dogs Liked the Taste
49,Meat appears gray
50,Disappointed
51,Wasn't my dog's favorite
52,my dogs dint like it they love the while chicken thigh one!
53,Total waste of money
54,Not as expected.
55,Don't expect cans to be intact
56,Hard time getting my dog to eat this
57,Would love to give this 5 stars but quality is VERY inconsistent!
58,Whole chicken bone in can.
59,Good Quailty
60,Dog will eat it
61,Very gravey-filled
62,Not so great.
63,Cesar dog food products
64,Most dogs will like this
65,Well...........
66,inconvenient; fatty
67,Not chunks in gravy
68,Contents are good
69,Picky
70,1/2 the case of canned food was significantly dented
71,average features
72,Turkey Day Feast
73,Not So Sure About This Stuff
74,My dogs hate the food
75,Seems to be good quality food.
76,Has Carrageenan in it
77,Change in ingredient!
78,New item for my dog
79,One time purchase
80,New customer
81,My dogs don't like the beef and liver of Newman's Own.
82,DOGGIES LIKE IT
83,dogs said no!
84,Real chicken
85,My dog is not impressed.
86,Fishy smell
87,Don't be fooled.
88,"Too much gravy, not much substance."
89,Dogs won't touch the food
90,50/50
91,Horrible food
92,Dog does not like this food
93,Not sure yet...
94,Small list of ingredients
95,Rejected by my dogs
96,Dog who eats everything wouldn't touch this
97,"Pups like it, but cans are all bent"
98,Picky critter . . .
99,My dog My refuses to eat them
100,My dog would not touch this food!
101,CAUSED DIARRHEA
102,Didnt like it
103,Grain-free is way too crumbly
104,Product looks great but not my dogs favorite
105,Great quality dog food. Two dented cans
106,MADE MY DOG SICK
107,EXPENSIVE
108,Product smelled too much like oatmeal
109,My puppy doesn't like it
110,Dogs won't eat it.
111,NOT BPA-free
112,like the delivery
113,expensive for what you get
114,"My dog loved it, BUT..."
115,Stew is for people
116,Spoiled contents
117,waste of money
118,She Won't eat it.
119,"Recommend Blue Wilderness, not Trout & Chicken Grill"
120,pups dont like it
121,Earthborn Tukey dinner grain free
122,Would not eat!
123,Merrick Diet Moist Canned Dog Food
124,"Recipe Change, Price Increase"
125,"seems good, but overpriced"
126,My newly diabetic dog won't eat this flavor. He is picky now. My other 2 will eat it. The fish smell stinks so bad.
127,Batch Inconsistencies
128,Not a favorite
129,Won't eat without a lot of coaxing on my part
130,Either one of my little girls likes this one
131,Mick - my pet doesn't like these meals
132,MADE IN THAILAND
133,Organix from 5 stars to 1 star
134,So-So
135,Small cans produced somewhere else?
136,Not what I expected
137,My doberman likes it but gotten very fatty. Recommend yes and no.
138,Dog doesn't like it
139,Not well liked by my seniors
140,Nutro adult kitchen dog food
141,OK at first
142,Seconds???
143,Picker Eater
144,Not so much
145,Not the best option from Wellness
146,dog food
147,"It's okay, but not filling"
148,Maybe not tasty
149,O.K. Product
150,Dog does not like the taste
151,Merrick Duck
152,Cats dont like it
153,Not his favorite!
154,20% of can is solid fat
155,Not for my puppy
156,Not a great product for us!
157,Trout and Salmon Wet food rating.
158,My dog will not eat it
159,Unsure why he no longer wants to eat it
160,Not enough substance
161,easy to open
162,Terrible can
163,Nope...good start but
164,Not for my puppies
