pos_review_title,pos_review_content,itemnumber,neg_review_content,maker,neg_review_title
My girls LOVE this food!!!!,"It is not as stew-y as I expected based on other brands of stews I have purchased. By that I mean there is really not a gravy like you would expect to see. That said, my girls LOVE LOVE LOVE it!!!! I have a Yorkipoo and a Papipoo and they absolutely inhale their meals (4oz twice/day each). I do not have",73955,"I was surprised my two large dogs didn't like this food more;  it looks wholesome enough...and the ingredients seem fine.    They eat it but not with gusto.......one dog kind of noses around the meat, eating the kibble and then tentatively eating the meat chunks.  I think I will look on Chewy again for",By Whole Earth Farms,Surprising  mediocre response from my dogs
Excellent as a topper for dry kibble,"I have two small, picky-eaters and had good luck with Taste of the Wild dry, decided to try
this as a ""gravy"" for their dry. Opened can, ears perked up, gobbled it right down! Success! Even though the vet said to keep them on one type of protein (my main is chicken), I see no reason not to spice up ",50640,Selected this food because of the nutritional review I read.  Dogs age at first but then tapered off.  Rectangle chunks in gravy.  They are very picky and this did not do it....either.,By Taste of the Wild,Didn't do the trick
My dogs ate this up!,"My dogs are really finicky, but they lapped this stuff right up. Even when one of them gets in a mood to not eat, all I have to do is pick up one piece for them to eat and it's on! Most of the time, one of them tries to rush to the bowls so he or she can get both bowls before the other one notices!",60626,"This Was supposed to have Rice with Beef Chunks in Gravy.  There Was
Beef Chunks ONLY in Gravy.  I Have Been Buying Nutro Products For Years.
Therefore, I Was Surprised & Disappointed.",By Nutro Max,Nutro Max Large Breed Adult Beef & Rice Dinner Chunks in Gravy
What a terrific product,"I had tried another type and brand of this and the dogs (5 ) seemed to just be okay with it.  I thought this might be better...It turns out they LOVE it...I have one that is very picky and fussy about her food so I just call her and tell her that I have ""duck"" for  her...She eats with no problem and ",76564,"I used to buy one of these rolls every few months to cut up for treats to use when training. Dogs loved them, they were easy to handle and stored well in the freezer. Small pieces could be tossed to the dog when teaching a stay.The formulation has changed. This is a finer grind, wetter and stickier. ",By Natural Balance,Not the Natural Balance roll of a few years ago
My dog loves this,I have not tasted it myself but my Mastiff really seems to love it!,84997,Except that this particular variety gave her diarrhea within a couple of days. I'm stuck with 10 cans of it.,By Blue Buffalo,"Dog Liked It, But"
High quality at a competative price,"This was our first time to order Purina One online and overall a good one. This is a high quality product which we have purchased in retail stores. We use three to four wet types of dog food along with our Natural Balance standard dry food and get good results with feedings. The only negative, there ",91787,3 out of 12 cans were dented. Lynn is very picky and I think she noticed {HA HA]. Ordering on-line is easier than trying to carry home every other week.,By Purina ONE,dented cans
Healthy that tastes good.,"My 2 dogs had no problem switching from their old dog food to this!  They LOVE it!  AND.....it is so much healthier for them as well. 
Their attention span has improved, more playful and their coats are healthier!  
The oldest, Frank the pug, is 7 and showed no interest in play any longer. Even my ",67454,"I have two small senior dogs.  My corgi mix liked the pro-plan for a week or so.  My chiweenie did not, and she eats everything! I like that the chunks of meat are smaller in size.  I did not care for the overly thick sauce.",By Purina Pro Plan,Mixed review
It's a hit!!!,"My 150 lb ,10 yr old mastiff loves this canned food!! I combine a partial can with the same dry. I feel much better about it since it's lower in fat",47021,"I'm torn on this food.  It smells so bad to me that I can't hardly stand to open it, but my super picky dog actually really likes it a lot so I guess I'll keep buying it for now haha",By CANIDAE,"Not pleasant smelling, but dogs like it"
My Cavs love it!,I give our dogs one tablespoon mixed with their Fromm heartland grain free dry food. They both gobble up their food faster and with much joy!,55028,"I know most dog food smells kind of like poop, but this stuff literally reeks like it's already been digested. Seriously. I guess that would be okay if the dogs actually liked it but alas, they just aren't that into it. Moving on to a new brand...",By Castor & Pollux,Dogs don't love it
First time trying this!,"I have wanted to try the Green Cow Tripe for a while as I have used many Solid Gold products over the years and am very satisfied with the results of them.  But I wasn't sure of ""tripe!""  It is a little smelly, but actually that makes the dogs love it even more.  I will for sure buy more of this.",86568,"It's not the one the dog liked. That one was not ground up. In fact, I was going to ask if I can return the unopened second box and substitute the other tripe canned food that I saw on your site.",By Solid Gold,Green cow tripe in beef broth
My dog loves it!,My shih-tzu loves this food.  There are nice size pieces and enough gravy to stir in his dry kibble.  He has allergies to anything chicken so he has done well with this food.,49224,"I love the Wellness products, but will not order this one anymore.  My pug loves the flavor but the pieces of meat in this particular flavor are much larger than the other flavors.  Too large for smaller dogs. I'll stick with turkey, duck, etc. on my future orders.",By Wellness,Venison & Salmon Stew
Picky puppy,My very picky puppy has had a hard time finding a food she likes enough to eat regularly. I had high hopes for this food because my older dog loves this brand but I guess puppy is just to picky.,73947,"I tried this product because I like others from the brand and needed something for my GS puppy. This is a pate food but it's a very hard pate and my puppy just doesn't care for it at all. I tried feeding to my other dogs so I didn't waist an entire case, but they don't like it either.",By Whole Earth Farms,My dogs don't like it
Great for picky eaters,"I have a very picky puppy, so I mix a little bit of this with her kibble, and she loves it! It's also great that it is meant for large breed puppies so she gets the nutrition she needs.",86753,"Our 6-month-old Newfie/Poodle mix puppy loved the food but had digestive issues from the start. We thought she would get used to it, but never did unfortunately. We're still searching for a large-breed puppy wet food.",By Nutro,Digestive issues
