,price,weight,product_list,maker,brand,rating,review_cnt,foodtexture
0,21.24,9.524999999999999,whole earth farms grain-free hearty beef stew ,Whole Earth Farms,Whole Earth Farms,4.4,206.0,stew
1,35.99,9.375,hill's prescription diet k/d kidney care chicken & vegetable stew ,Hill's Prescription Diet,Hill's,4.6,175.0,stew
2,18.85,9.600000000000001,hill's science diet adult savory stew with beef & vegetables ,Hill's Science Diet,Hill's,4.9,40.0,stew
3,25.99,9.375,blue buffalo wilderness duck & chicken grill grain-free ,Blue Buffalo,Blue Buffalo,4.6,97.0,pate
4,18.22,9.375,nutro max large breed adult beef & rice dinner chunks in gravy ,Nutro Max,Nutro,4.6,33.0,chunks in gravy
5,33.99,9.899999999999999,wellness 95% beef grain-free ,Wellness,Wellness,4.7,79.0,pate
6,30.99,9.975000000000001,purina pro plan veterinary diets nf kidney function formula ,Purina Pro Plan Veterinary Diets,Purina,4.5,79.0,minced
7,15.20,9.75,purina one smartblend tender cuts in gravy chicken & brown rice entree adult ,Purina ONE,Purina,4.6,18.0,chunks in gravy
8,18.96,9.75,purina pro plan focus adult 7+ beef & rice entree morsels in gravy ,Purina Pro Plan,Purina,4.4,29.0,chunks in gravy
9,24.54,9.524999999999999,newman's own organics grain-free 95% chicken & liver dinner ,Newman's Own Organics,Newman's Own Organics,4.5,22.0,pate
10,33.99,9.375,wellness turkey & duck stew with sweet potatoes & cranberries ,Wellness,Wellness,4.9,43.0,stew
11,27.44,10.125,royal canin mature adult in gel ,Royal Canin,Royal Canin,4.9,8.0,pate
12,33.99,4.5,"wellness petite entrees mini-filets with roasted beef,carrots & red peppers in gravy grain-free wet dog food",Wellness,Wellness,4.9,23.0,chunks in gravy
13,21.48,9.4,"nutro adult kitchen classics family dinner with turkey,rice & vegetables ",Nutro,Nutro,4.9,32.0,pate
14,34.99,9.75,holistic select chicken pate recipe grain-free ,Holistic Select,Holistic Select,4.9,22.0,pate
15,11.76,63.49,pedigree choice cuts in gravy steak & vegetable flavor ,Pedigree,Pedigree,,,chunks in gravy
16,26.33,9.6,evanger's super premium lamb & rice dinner ,Evanger's,Evanger's,4.6,28.0,pate
17,16.99,2.625,blue buffalo wilderness trail trays chicken grill formula grain-free dog food trays,Blue Buffalo,Blue Buffalo,5.0,3.0,pate
18,26.99,9.75,dogswell happy hips lamb & sweet potato stew recipe grain-free ,Dogswell,Dogswell,4.7,27.0,stew
19,7.59,3.5,pedigree choice cuts senior morsels in sauce with chicken & rice wet dog food,Pedigree,Pedigree,4.5,6.0,chunks in gravy
20,16.80,5.25,cesar classics pate porterhouse steak flavor dog food trays,Cesar,Cesar,5.0,11.0,pate
21,15.65,2.63,hill's science diet adult small & toy breed savory chicken & vegetable stew dog food trays,Hill's Science Diet,Hill's,4.2,5.0,stew
