,price,weight,product_list,maker,brand,rating,review_cnt,foodtexture,id,benefits
0,21.24,9.525,whole earth farms grain-free hearty beef stew ,Whole Earth Farms,Whole Earth Farms,4.4,206,stew,73955," the best, healthy ingredients from the earth, mixed into a delicious daily meal , protein rich beef, blueberries, flavorful rosemary, sage and thyme are just a few of the nutritious ingredients , cooked in america with the earth's best ingredients , no corn, wheat or soy , no ingredients from china "
1,35.99,9.375,hill's prescription diet k/d kidney care chicken & vegetable stew ,Hill's Prescription Diet,Hill's,4.6,175,stew,82589," protects vital kidney and heart function with proven nutrition developed by nutritionists and veterinarians. , boosts vitality and energy and supports the natural ability to build lean muscle daily. , made with controlled phosphorus and low sodium, plus therapeutic levels of l-carnitine and omega-3 fatty acids. , also includes high levels of essential amino acids, which are the building blocks of protein. , made in usa and clinically tested to improve and lengthen the quality of life. "
2,18.85,9.6,hill's science diet adult savory stew with beef & vegetables ,Hill's Science Diet,Hill's,4.9,40,stew,52789," this recipe is made with real meat, brown rice and a medley of delectable vegetables including peas and carrots, all smothered in a delicious gravy , high quality, lean protein promotes lean muscle maintenance and ideal body weight , gentle fibers promote healthy digestion and help keep your dog in top condition , promotes healthy skin and a shiny coat with ingredients such as biotin and vitamin e , recommended for adult dogs 1-6 years of age "
3,25.99,9.375,blue buffalo wilderness duck & chicken grill grain-free ,Blue Buffalo,Blue Buffalo,4.6,97,pate,85742," made with the finest natural ingredients, including generous amounts of tasty and nutritious duck and chicken , made without any grain, a common allergy trigger for dogs , no corn, wheat, soy, chicken/poultry by-product meals, artificial preservatives, colors or flavors , b12 supplement improves gastrointestinal function and flaxseed boosts the immune system , a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete "
4,18.22,9.375,nutro max large breed adult beef & rice dinner chunks in gravy ,Nutro Max,Nutro,4.6,33,chunks in gravy,60626," real beef and beef liver in a savory broth are the first ingredients in this delicious natural food. , high-quality ingredients are sourced from a network of trusted farmers and suppliers and processed in nutro’s own u.s. facilities. , added vitamins, minerals and trace nutrients deliver complete and balanced nutrition for your large breed adult dog. , made with no corn or soy protein, no by-product meals, and no artificial flavors or preservatives. , can be served as a complete meal or as a tasty topper over dry kibble to add variety to his diet. "
5,33.99,9.9,wellness 95% beef grain-free ,Wellness,Wellness,4.7,79,pate,49195," packed with super premium beef , grain-free formula ideal for pets with allergies , the perfect way to add variety and excitement to dry food , no meat by-products, wheat, corn, soy, artificial preservatives, colors, or flavors , made to be mixed with dry dog food or used as a topper "
6,30.99,9.975,purina pro plan veterinary diets nf kidney function formula ,Purina Pro Plan Veterinary Diets,Purina,4.5,79,minced,65064," kidney disease can occur in dogs of all ages, but it normally appears in that of older pets. it can't be cured, but with proper treatment and dietary management you can help make your pup much more comfortable. , purina pro plan veterinary diets nf has been specifically formulated to minimize the sign of kidney failure and help slow the progression of the disease. , restricted amounts of high-quality protein, low phosphorus levels, and a reduction in sodium all help reduce the workload on the kidneys. added b-complex vitamins help to protect the body and break down nutrients. , designed for dogs with chronic renal failure, hepatic disease associated with encephalopathy, or any condition that benefits from restricted sodium levels. , made in the usa! "
7,15.2,9.75,purina one smartblend tender cuts in gravy chicken & brown rice entree adult ,Purina ONE,Purina,4.6,18,chunks in gravy,91787," real chicken and brown rice in a savory gravy provides a taste your dog will love! , formulated with select, high-quality, natural ingredients plus vitamins and minerals , includes two times the recommended antioxidant levels with zinc, selenium, and vitamins a and e , 100% nutritionally complete diet for adult dogs , highly palatable and easily digestible formula promotes a lifetime of good health for your furry friend "
8,18.96,9.75,purina pro plan focus adult 7+ beef & rice entree morsels in gravy ,Purina Pro Plan,Purina,4.4,29,chunks in gravy,67454," chunky bites of high-quality beef and chicken in rich gravy provides exceptional taste and balanced nutrition for your dog , contains biotin and omega-6 fatty acids to maintain healthy skin and a beautiful shiny coat , easy-to-digest formula contains ideal ingredients for dogs over 7 years of age to thrive , can be used in addition to purina pro plan kibble, or as a 100% complete balanced diet , proudly manufactured in purina-owned u.s.a facilities and does not contain any added artificial colors, flavors, or preservatives "
9,24.54,9.525,newman's own organics grain-free 95% chicken & liver dinner ,Newman's Own Organics,Newman's Own Organics,4.5,22,pate,59978," a grain-free formula that's suitable for all life stages , first and primary ingredient is a single source of organic protein , this formula is highly palatable and digestible , no artificial flavors, colors, preservatives, corn or wheat , certified by oregon tilth for a wholesome meal any pup would enjoy "
