,pos_review_content
0,"It is not as stew-y as I expected based on other brands of stews I have purchased. By that I mean there is really not a gravy like you would expect to see. That said, my girls LOVE LOVE LOVE it!!!! I have a Yorkipoo and a Papipoo and they absolutely inhale their meals (4oz twice/day each). I do not have"
1,"I have two small, picky-eaters and had good luck with Taste of the Wild dry, decided to try
this as a ""gravy"" for their dry. Opened can, ears perked up, gobbled it right down! Success! Even though the vet said to keep them on one type of protein (my main is chicken), I see no reason not to spice up "
2,"My dogs are really finicky, but they lapped this stuff right up. Even when one of them gets in a mood to not eat, all I have to do is pick up one piece for them to eat and it's on! Most of the time, one of them tries to rush to the bowls so he or she can get both bowls before the other one notices!"
3,"I had tried another type and brand of this and the dogs (5 ) seemed to just be okay with it.  I thought this might be better...It turns out they LOVE it...I have one that is very picky and fussy about her food so I just call her and tell her that I have ""duck"" for  her...She eats with no problem and "
4,I have not tasted it myself but my Mastiff really seems to love it!
5,"This was our first time to order Purina One online and overall a good one. This is a high quality product which we have purchased in retail stores. We use three to four wet types of dog food along with our Natural Balance standard dry food and get good results with feedings. The only negative, there "
6,"My 2 dogs had no problem switching from their old dog food to this!  They LOVE it!  AND.....it is so much healthier for them as well. 
Their attention span has improved, more playful and their coats are healthier!  
The oldest, Frank the pug, is 7 and showed no interest in play any longer. Even my "
7,"My 150 lb ,10 yr old mastiff loves this canned food!! I combine a partial can with the same dry. I feel much better about it since it's lower in fat"
8,I give our dogs one tablespoon mixed with their Fromm heartland grain free dry food. They both gobble up their food faster and with much joy!
9,"I have wanted to try the Green Cow Tripe for a while as I have used many Solid Gold products over the years and am very satisfied with the results of them.  But I wasn't sure of ""tripe!""  It is a little smelly, but actually that makes the dogs love it even more.  I will for sure buy more of this."
10,My shih-tzu loves this food.  There are nice size pieces and enough gravy to stir in his dry kibble.  He has allergies to anything chicken so he has done well with this food.
11,My very picky puppy has had a hard time finding a food she likes enough to eat regularly. I had high hopes for this food because my older dog loves this brand but I guess puppy is just to picky.
12,"I have a very picky puppy, so I mix a little bit of this with her kibble, and she loves it! It's also great that it is meant for large breed puppies so she gets the nutrition she needs."
13,Perfect to add to dry Nutro Senior small nibbles. The small portion offered allows the container to serve a few meals to add flavor
